春風や 土手にひらりと 蝶ひとつ|青野春水
朝露や 光をのせて 草ゆれる|白石風花
山桜 谷を染めつつ 雲流る|高瀬一舟
夏雲や 遠き汽笛の 響きけり|村上青嵐
夕立や 石畳打つ 音しげし|川辺静音
蛍飛ぶ 川面に映る 星あかり|中野月舟
青田風 波のごとくに 渡りけり|東山翠月
向日葵や 空を見上げて 日を集む|小林夏野
蝉しぐれ 森の奥まで 満ちにけり|藤原蒼人
白南風や 帆をふくらませ 船進む|海野潮音
秋風や 古き木橋を 渡る影|秋山紅葉
稲穂垂れ 黄金の波の 続きけり|松原一秋
月明かり 湖静かに 銀を引く|有村月華
赤とんぼ 野辺をかすめて 消えにけり|坂口夕雲
虫の音や 窓辺にひそむ 夜の秋|石田草庵
木の実落つ 森の静けさ 深まりぬ|北川秋声
冬近し 山の端白く 染まりけり|長谷川風雅
霜の朝 小川きらりと 光りけり|宮本雪舟
落葉踏む 音の重なり 道長し|吉岡秋風
初時雨 軒のしずくの 音細し|森田悠月

雪降りて 野原は白き 海となる|安藤白雲
冬月や 枯木の影を 長く引く|田辺冬樹
炉火赤し 古き民家の 夜静か|岡本暖灯
寒椿 雪の重みに 耐えながら|西村花雪
氷張る 池の底なる 空青し|福島凛風
春浅し 山の小道に 水ぬるむ|木下春陽
梅一輪 庭の片隅 香を放つ|三浦香雪
うぐいすや 朝の静寂を 破りけり|本間翠鳥
菜の花や 川辺まばゆく 染まりけり|野口晴香
春雨や 傘にやさしき 音刻む|岩田風音

若葉風 神社の森を 抜けにけり|浅井緑舟
田植え唄 水面にゆれて 空映す|柴田耕雲
夏の月 波間に揺れる 漁火かな|浜田潮風
夕焼けや 子らの笑顔の 帰り道|井上夕虹
金魚玉 光を集め 昼静か|遠藤涼夏
祭笛 夜空に高く 響きけり|神谷祭音
蓮の花 朝日にひらく 池静か|竹内蓮舟
山小屋に 雨音ひびく 夏の宵|山根青岳
渓流や 石を洗いて 水清し|谷口清流
麦の秋 風にさざなみ 続きけり|内田麦秋

すすき野や 月の光の 道白し|河合秋月
秋桜の 揺れて小径を 彩れり|平井花音
栗ひろう 子らの笑顔の 野山かな|黒田実風
夜長かな 本のページを めくる音|大島読月
渡り鳥 空に弧を描き 去りゆけり|南條旅雲
朝霧や 湖の向こうに 山淡し|沢田霧香
冬晴れや 遠嶺くっきり 空高し|樋口蒼空
焚火かな はぜる火の粉の 舞い上がる|杉本暖風
雪うさぎ 窓辺に並ぶ 朝の光|石橋雪乃
寒星や 川面に映る 夜の底|佐伯星河

春の海 ゆるく寄せくる 波の音|浜崎春海
風船や 子らの手を離れ 空高し|柳田空音
花吹雪 石段白く 染めにけり|小松桜子
藤の花 香り流れて 夕まぐれ|久保紫苑
新緑や 谷の深さを 風知らせ|西岡緑風
夏の朝 井戸水冷たく 手に残る|今井清夏
入道雲 山を越えゆく 影大き|川村雲平
風鈴や 軒に涼しき 音ひとつ|岡崎涼音
浜辺には 貝殻ひとつ 夏終わる|森下渚
夕顔や 白く浮かびて 月を待つ|青木月野

秋灯や 机に残る 旅日記|高木旅人
紅葉散る 水面ゆるりと 流れけり|村田紅舟
柚子の香や 台所より 冬来たる|伊藤香月
木枯らしや 路地を曲がれば 猫一匹|原田冬路
雪解川 小石ころころ 音立てる|斎藤流水
春霞 遠き街並み 淡くなる|渡辺霞子
たんぽぽや 土手の陽だまり ひとり占め|星野陽春
若竹や 雨をはじいて 空を指す|早川青竹
青葉雨 軒先しずかに 音つづく|片山雨音
夏の野に 白き一本道 続きけり|中原夏道

朝顔や 垣根を越えて 空を呼ぶ|吉村朝香
蝉の声 石段のぼる 影短し|堀内夏蝉
夕涼み 川の流れに 耳澄ます|新田涼介
天の川 里の灯遠く またたけり|安西星舟
稲妻や 一瞬白き 山の峰|島田雷花
萩の風 野辺を静かに 渡りけり|土屋秋穂
名月や 竹の葉先に 光満つ|中村月朗
山眠る 冬の静けさ 深くなる|水野冬山
初雪や 郵便受けにも 白き綿|小泉雪路
霜柱 朝日にきらり 音立てる|藤田晶雪

春の雨 石畳濡れて 色深し|岩崎春路
花筏 川の曲がりに 集まりぬ|大谷花舟
若葉影 水面に揺れて 昼静か|徳永緑水
夏帽子 風に押されて 坂くだる|長野夏実
海鳴りや 遠き水平線 霞みけり|岸本潮声
月涼し 古寺の庭に 影ひとつ|寺田月影
虫時雨 草むら深く 夜更けゆく|三宅夜秋
秋の雲 ゆるり流れて 峰越える|永井高嶺
冬の朝 パンの湯気立つ 窓明かり|関口暖朝
年の暮 遠き鐘の音 空に消ゆ|結城歳風
